GO:0000001	mitochondrion inheritance
GO:0002001	renin secretion into blood stream
GO:0002002	regulation of angiotensin levels in blood
GO:0002003	angiotensin maturation
GO:0002005	angiotensin catabolic process in blood
GO:0002007	detection of hypoxic conditions in blood by chemoreceptor signaling
GO:0002009	morphogenesis of an epithelium
GO:0002011	morphogenesis of an epithelial sheet
GO:0002014	vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure
GO:0002016	regulation of blood volume by renin-angiotensin
GO:0002017	regulation of blood volume by renal aldosterone
GO:0002018	renin-angiotensin regulation of aldosterone production
GO:0002019	regulation of renal output by angiotensin
GO:0002021	response to dietary excess
GO:0002023	reduction of food intake in response to dietary excess
GO:0002024	diet induced thermogenesis
GO:0002025	vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure
GO:0002026	regulation of the force of heart contraction
GO:0002027	regulation of heart rate
GO:0002028	regulation of sodium ion transport
GO:0002029	desensitization of G-protein coupled receptor protein signaling pathway
GO:0002030	inhibitory G-protein coupled receptor phosphorylation
GO:0002031	G-protein coupled receptor internalization
GO:0002032	desensitization of G-protein coupled receptor protein signaling pathway by arrestin
GO:0002033	vasodilation by angiotensin involved in regulation of systemic arterial blood pressure
GO:0002034	regulation of blood vessel size by renin-angiotensin
GO:0002035	brain renin-angiotensin system
GO:0002036	regulation of L-glutamate transport
GO:0002037	negative regulation of L-glutamate transport
GO:0002038	positive regulation of L-glutamate transport
GO:0002040	sprouting angiogenesis
GO:0002041	intussusceptive angiogenesis
GO:0002042	cell migration involved in sprouting angiogenesis
GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
GO:0002044	blood vessel endothelial cell migration involved in intussusceptive angiogenesis
GO:0002047	phenazine biosynthetic process
GO:0002048	pyoverdine metabolic process
GO:0002049	pyoverdine biosynthetic process
GO:0002051	osteoblast fate commitment
GO:0002052	positive regulation of neuroblast proliferation
GO:0002053	positive regulation of mesenchymal cell proliferation
GO:0002062	chondrocyte differentiation
GO:0002063	chondrocyte development
GO:0002064	epithelial cell development
GO:0002065	columnar/cuboidal epithelial cell differentiation
GO:0002066	columnar/cuboidal epithelial cell development
GO:0002067	glandular epithelial cell differentiation
GO:0002068	glandular epithelial cell development
GO:0002069	columnar/cuboidal epithelial cell maturation
GO:0002070	epithelial cell maturation
GO:0002071	glandular epithelial cell maturation
GO:0002072	optic cup morphogenesis involved in camera-type eye development
GO:0002074	extraocular skeletal muscle development
GO:0002076	osteoblast development
GO:0002082	regulation of oxidative phosphorylation
GO:0002084	protein depalmitoylation
GO:0002085	inhibition of neuroepithelial cell differentiation
GO:0002086	diaphragm contraction
GO:0002087	regulation of respiratory gaseous exchange by neurological system process
GO:0002088	lens development in camera-type eye
GO:0002089	lens morphogenesis in camera-type eye
GO:0002090	regulation of receptor internalization
GO:0002091	negative regulation of receptor internalization
GO:0002092	positive regulation of receptor internalization
GO:0002093	auditory receptor cell morphogenesis
GO:0002097	tRNA wobble base modification
GO:0002098	tRNA wobble uridine modification
GO:0002099	tRNA wobble guanine modification
GO:0002100	tRNA wobble adenosine to inosine editing
GO:0002101	tRNA wobble cytosine modification
GO:0002103	endonucleolytic cleavage of tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA)
GO:0002107	generation of mature 3'-end of 5S rRNA generated by RNA polymerase III
GO:0002109	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)
GO:0002115	store-operated calcium entry
GO:0002118	aggressive behavior
GO:0002119	nematode larval development
GO:0002121	inter-male aggressive behavior
GO:0002124	territorial aggressive behavior
GO:0002125	maternal aggressive behavior
GO:0002127	wobble base cytosine methylation
GO:0002128	tRNA nucleoside ribose methylation
GO:0002130	wobble position ribose methylation
GO:0002131	wobble position cytosine ribose methylation
GO:0002132	wobble position uridine ribose methylation
GO:0002136	wobble base lysidine biosynthesis
GO:0002138	retinoic acid biosynthetic process
GO:0002143	tRNA wobble position uridine thiolation
GO:0002146	steroid hormone receptor import into nucleus
GO:0002147	glucocorticoid receptor import into nucleus
GO:0002148	hypochlorous acid metabolic process
GO:0002149	hypochlorous acid biosynthetic process
GO:0002152	bile acid conjugation
GO:0002154	thyroid hormone mediated signaling pathway
GO:0002155	regulation of thyroid hormone mediated signaling pathway
GO:0002158	osteoclast proliferation
GO:0002159	desmosome assembly
GO:0002164	larval development
GO:0002165	instar larval or pupal development
GO:0002168	instar larval development
GO:0002175	protein localization to paranode region of axon
GO:0002176	male germ cell proliferation
GO:0002181	cytoplasmic translation
GO:0002182	cytoplasmic translational elongation
GO:0002183	cytoplasmic translational initiation
GO:0002184	cytoplasmic translational termination
GO:0002188	translation reinitiation
GO:0002190	cap-independent translational initiation
GO:0002192	IRES-dependent translational initiation
GO:0002194	hepatocyte cell migration
GO:0002200	somatic diversification of immune receptors
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response
GO:0002206	gene conversion of immunoglobulin genes
GO:0002208	somatic diversification of immunoglobulins involved in immune response
GO:0002209	behavioral defense response
GO:0002213	defense response to insect
GO:0002215	defense response to nematode
GO:0002218	activation of innate immune response
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0002221	pattern recognition receptor signaling pathway
GO:0002223	stimulatory C-type lectin receptor signaling pathway
GO:0002224	toll-like receptor signaling pathway
GO:0002225	positive regulation of antimicrobial peptide production
GO:0002227	innate immune response in mucosa
GO:0002228	natural killer cell mediated immunity
GO:0002229	defense response to oomycetes
GO:0002230	positive regulation of defense response to virus by host
GO:0002232	leukocyte chemotaxis involved in inflammatory response
GO:0002233	leukocyte chemotaxis involved in immune response
GO:0002236	detection of misfolded protein
GO:0002237	response to molecule of bacterial origin
GO:0002238	response to molecule of fungal origin
GO:0002239	response to oomycetes
GO:0002240	response to molecule of oomycetes origin
GO:0002244	hematopoietic progenitor cell differentiation
GO:0002246	wound healing involved in inflammatory response
GO:0002248	connective tissue replacement involved in inflammatory response wound healing
GO:0002250	adaptive immune response
GO:0002251	organ or tissue specific immune response
GO:0002252	immune effector process
GO:0002253	activation of immune response
GO:0002254	kinin cascade
GO:0002255	tissue kallikrein-kinin cascade
GO:0002260	lymphocyte homeostasis
GO:0002262	myeloid cell homeostasis
GO:0002263	cell activation involved in immune response
GO:0002266	follicular dendritic cell activation
GO:0002268	follicular dendritic cell differentiation
GO:0002274	myeloid leukocyte activation
GO:0002275	myeloid cell activation involved in immune response
GO:0002276	basophil activation involved in immune response
GO:0002277	myeloid dendritic cell activation involved in immune response
GO:0002278	eosinophil activation involved in immune response
GO:0002279	mast cell activation involved in immune response
GO:0002281	macrophage activation involved in immune response
GO:0002282	microglial cell activation involved in immune response
GO:0002283	neutrophil activation involved in immune response
GO:0002285	lymphocyte activation involved in immune response
GO:0002286	T cell activation involved in immune response
GO:0002287	alpha-beta T cell activation involved in immune response
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
GO:0002292	T cell differentiation involved in immune response
GO:0002293	alpha-beta T cell differentiation involved in immune response
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response
GO:0002295	T-helper cell lineage commitment
GO:0002296	T-helper 1 cell lineage commitment
GO:0002302	CD8-positive, alpha-beta T cell differentiation involved in immune response
GO:0002309	T cell proliferation involved in immune response
GO:0002312	B cell activation involved in immune response
GO:0002313	mature B cell differentiation involved in immune response
GO:0002314	germinal center B cell differentiation
GO:0002315	marginal zone B cell differentiation
GO:0002316	follicular B cell differentiation
GO:0002317	plasma cell differentiation
GO:0002318	myeloid progenitor cell differentiation
GO:0002320	lymphoid progenitor cell differentiation
GO:0002322	B cell proliferation involved in immune response
GO:0002323	natural killer cell activation involved in immune response
GO:0002326	B cell lineage commitment
GO:0002327	immature B cell differentiation
GO:0002328	pro-B cell differentiation
GO:0002329	pre-B cell differentiation
GO:0002331	pre-B cell allelic exclusion
GO:0002332	transitional stage B cell differentiation
GO:0002333	transitional one stage B cell differentiation
GO:0002335	mature B cell differentiation
GO:0002337	B-1a B cell differentiation
GO:0002339	B cell selection
GO:0002343	peripheral B cell selection
GO:0002344	B cell affinity maturation
GO:0002347	response to tumor cell
GO:0002349	histamine production involved in inflammatory response
GO:0002351	serotonin production involved in inflammatory response
GO:0002352	B cell negative selection
GO:0002353	plasma kallikrein-kinin cascade
GO:0002355	detection of tumor cell
GO:0002357	defense response to tumor cell
GO:0002358	B cell homeostatic proliferation
GO:0002360	T cell lineage commitment
GO:0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
GO:0002363	alpha-beta T cell lineage commitment
GO:0002365	gamma-delta T cell lineage commitment
GO:0002366	leukocyte activation involved in immune response
GO:0002367	cytokine production involved in immune response
GO:0002368	B cell cytokine production
GO:0002369	T cell cytokine production
GO:0002371	dendritic cell cytokine production
GO:0002374	cytokine secretion involved in immune response
GO:0002376	immune system process
GO:0002377	immunoglobulin production
GO:0002378	immunoglobulin biosynthetic process
GO:0002380	immunoglobulin secretion involved in immune response
GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response
GO:0002384	hepatic immune response
GO:0002385	mucosal immune response
GO:0002386	immune response in mucosal-associated lymphoid tissue
GO:0002396	MHC protein complex assembly
GO:0002397	MHC class I protein complex assembly
GO:0002399	MHC class II protein complex assembly
GO:0002404	antigen sampling in mucosal-associated lymphoid tissue
GO:0002406	antigen sampling by M cells in mucosal-associated lymphoid tissue
GO:0002407	dendritic cell chemotaxis
GO:0002408	myeloid dendritic cell chemotaxis
GO:0002412	antigen transcytosis by M cells in mucosal-associated lymphoid tissue
GO:0002414	immunoglobulin transcytosis in epithelial cells
GO:0002415	immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor
GO:0002418	immune response to tumor cell
GO:0002426	immunoglobulin production in mucosal tissue
GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib
GO:0002429	immune response-activating cell surface receptor signaling pathway
GO:0002430	complement receptor mediated signaling pathway
GO:0002431	Fc receptor mediated stimulatory signaling pathway
GO:0002432	granuloma formation
GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
GO:0002437	inflammatory response to antigenic stimulus
GO:0002438	acute inflammatory response to antigenic stimulus
GO:0002439	chronic inflammatory response to antigenic stimulus
GO:0002440	production of molecular mediator of immune response
GO:0002441	histamine secretion involved in inflammatory response
